stratum,nct_id,brief_title,intervention_types,minimum_age,maximum_age,rule_included,rule_exclusion_reasons,rule_review_flags,manual_label,reviewer_rationale
included_clean,NCT05788965,Semaglutide in CFRD,DRUG,18 Years,,True,,,,
included_clean,NCT05035095,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in People Who Are Overweight or Living With Obesity (OASIS 1),DRUG,18 Years,,True,,,,
included_clean,NCT07297290,"Effect of Metformin Use on Weight Loss in Obese, Non-diabetic People (MOWRI)",DRUG,20 Years,59 Years,True,,,,
included_clean,NCT05667038,Effect of Probiotics Among Overweight and Obese Saudi Adults,DIETARY_SUPPLEMENT;DRUG,19 Years,40 Years,True,,,,
included_clean,NCT06616961,Efficacy and Safety of Semaglutide for Weight Loss in Overweight or Obese Adults in Bangladesh With or Without Type 2 Diabetes Mellitus,DRUG,18 Years,,True,,,,
included_clean,NCT03811574,STEP 6: Research Study Investigating How Well Semaglutide Works in People Living With Overweight or Obesity,DRUG,18 Years,,True,,,,
included_clean,NCT07226765,Maridebart Cafraglutide Versus Placebo in Adult Participants With Obstructive Sleep Apnea Not on Positive Airway Pressure (PAP) Therapy,DRUG,18 Years,99 Years,True,,,,
included_clean,NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffering From Overweight or Obesity,DRUG,18 Years,,True,,,,
included_clean,NCT06904105,A Trial of HRS-7535 Tablets in Subjects With Overweight or Obesity,DRUG,18 Years,75 Years,True,,,,
included_clean,NCT05564117,Research Study Looking at How Well Semaglutide Tablets Taken Once Daily Work in People Who Have a Body Weight Above the Healthy Range,DRUG,18 Years,,True,,,,
included_clean,NCT06918405,Efficacy and Safety of Tirzepatide for Weight Management,DRUG,18 Years,,True,,,,
included_clean,NCT04274608,"Intra-gastric Fundal and Body Injection of Botulinum Toxin A for Weight Loss, a Randomized Controlled Trial",BEHAVIORAL;DRUG,21 Years,65 Years,True,,,,
included_clean,NCT03374956,Individualized Obesity Pharmacotherapy,DRUG,18 Years,75 Years,True,,,,
included_clean,NCT01934036,"Obex, a Nutritional Supplement, in Overweight and Obese Spanish Women",DIETARY_SUPPLEMENT;DRUG,35 Years,60 Years,True,,,,
included_clean,NCT04251156,Research Study of How Well Semaglutide Works in People Living With Overweight or Obesity.,DRUG,18 Years,,True,,,,
included_clean,NCT05316467,Weight Management Plus Megestrol Acetate in Early-stage Endometrioid Carcinoma,BEHAVIORAL;DRUG,18 Years,45 Years,True,,,,
included_clean,NCT05316493,Weight Management Plus LNG-IUS/Megestrol Acetate in Endometrial Atypical Hyperplasia,BEHAVIORAL;DRUG,18 Years,45 Years,True,,,,
