nct_id,condition_name
NCT01644201,Type II Diabetes Mellitus
NCT01644201,Obesity
NCT00375401,Obesity
NCT07684144,Obesity
NCT07684144,Overweight
NCT07684144,"Diabetes Mellitus, Type 2"
NCT05822830,Obesity
NCT05822830,Overweight
NCT06501248,Obesity
NCT06501248,Drug Effect
NCT06501248,Insulin Sensitivity
NCT06309992,Obesity
NCT06309992,Non-Alcoholic SteatoHepatitis (NASH)
NCT00146107,Obesity
NCT02672592,Hypogonadism
NCT02672592,Metabolic Syndrome X
NCT02672592,Obesity
NCT03345771,Osteoarthritis
NCT00623844,"Child, Preschool"
NCT03419624,Obesity
NCT03419624,"Diabetes Mellitus, Type 2"
NCT04520490,Childhood Obesity
NCT04221750,Frailty
NCT04221750,Sarcopenic Obesity
NCT04221750,Aging
NCT07075146,HIV - Human Immunodeficiency Virus
NCT07075146,Obesity
NCT07075146,Overweight and/or Obesity
NCT00478972,Obesity
NCT00478972,Diabetes Mellitus Type 2
NCT07037459,Heart Failure With Preserved Ejection Fraction
NCT07037459,Heart Failure With Mildly Reduced Ejection Fraction
NCT07037459,Obesity
NCT00386061,Obesity
NCT04447313,Obesity-Related Malignant Neoplasm
NCT00029861,Obesity
NCT00029861,Weight Loss
NCT05093634,Obesity
NCT05093634,Genetic Obesity
NCT01627925,Upper Airway Obstruction
NCT07037433,Atherosclerotic Cardiovascular Disease
NCT07037433,Overweight
NCT07037433,Obesity
NCT00764270,Atherosclerosis
NCT00955903,Obesity
NCT00955903,Diabetes
NCT00955903,Hypertension
NCT00955903,Hyperlipidemia
NCT04678323,"Obesity, Childhood"
NCT07503210,Obesity
NCT01724983,Morbid Obesity
NCT05887271,Heart Failure With Preserved Ejection Fraction
NCT05887271,"Heart Failure, Diastolic"
NCT05887271,"Diabetes Mellitus, Type 2"
NCT05887271,Diabetes Mellitus Type 2 in Obese
NCT05887271,Obesity Adult Onset
NCT00975533,Type 2 Diabetes Mellitus
NCT01273584,Pregnancy Complications
NCT01273584,Obesity
NCT01272232,Metabolism and Nutrition Disorder
NCT01272232,Obesity
NCT07220772,Monogenic Obesity
NCT06952712,Preeclampsia
NCT00589498,Hypertension
NCT00589498,Sleep Apnea Syndromes
NCT00589498,Obesity
NCT02342899,Obesity Hypoventilation Syndrome
NCT02342899,Chronic Respiratory Failure
NCT02868177,Prediabetes
NCT02868177,Type 2 Diabetes
NCT02868177,Hypertriglyceridemia
NCT02868177,Obesity
NCT02868177,Disease
NCT02868177,Insulin Resistance
NCT00000532,Cardiovascular Diseases
NCT00000532,Diabetes Mellitus
NCT00000532,Heart Diseases
NCT00000532,Hypercholesterolemia
NCT00000532,Hypertension
NCT00000532,Obesity
NCT00000532,Menopause
NCT00000532,Postmenopause
NCT00495599,Obesity
NCT01905956,Weight Loss
NCT04800172,Obesity
NCT04800172,PreDiabetes
NCT00929812,Healthy Subjects
NCT00929812,Obesity
NCT00929812,"Diabetes Mellitus, Type 1"
NCT00989339,Diabetes
NCT00989339,Hypertension
NCT00989339,Obesity
NCT00553787,Obesity
NCT00553787,Type 2 Diabetes
NCT05788965,Cystic Fibrosis
NCT05788965,Cystic Fibrosis-related Diabetes
NCT00679653,Obesity
NCT00679653,Hypertension
NCT07734311,Knee Osteoarthritis
NCT07734311,Obesity
NCT00449605,"Diabetes Mellitus, Type 2"
NCT00678483,Obesity
NCT00678483,Weight Loss
NCT05409612,Morbid Obesity
NCT05409612,Severe Obesity
NCT02516475,Obesity
NCT04525300,Obesity
NCT06914895,Type 1 Diabetes
NCT06914895,Obesity
NCT06914895,Overweight
NCT00520182,Diabetes Type 2
NCT07284901,Obesity With Diabetes
NCT07284901,Overweight With Diabetes
NCT07567001,Obesity
NCT07567001,Heart Failure
NCT02367105,Obesity and Hypogonadism
NCT05394519,Overweight
NCT05394519,Obesity
