iso3,country_name,region,population_2023
ABW,Aruba,Latin America & Caribbean,107359
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",41454761
AGO,Angola,Sub-Saharan Africa,36749906
ALB,Albania,Europe & Central Asia,2411658
AND,Andorra,Europe & Central Asia,80856
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",10483751
ARG,Argentina,Latin America & Caribbean,45538401
ARM,Armenia,Europe & Central Asia,2964300
ASM,American Samoa,East Asia & Pacific,47521
ATG,Antigua and Barbuda,Latin America & Caribbean,93316
AUS,Australia,East Asia & Pacific,26659922
AUT,Austria,Europe & Central Asia,9131761
AZE,Azerbaijan,Europe & Central Asia,10153958
BDI,Burundi,Sub-Saharan Africa,13689450
BEL,Belgium,Europe & Central Asia,11779946
BEN,Benin,Sub-Saharan Africa,14111034
BFA,Burkina Faso,Sub-Saharan Africa,23025776
BGD,Bangladesh,South Asia,171466990
BGR,Bulgaria,Europe & Central Asia,6446596
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",1577059
BHS,"Bahamas, The",Latin America & Caribbean,399440
BIH,Bosnia and Herzegovina,Europe & Central Asia,3185073
BLR,Belarus,Europe & Central Asia,9178298
BLZ,Belize,Latin America & Caribbean,411106
BMU,Bermuda,North America,64698
BOL,Bolivia,Latin America & Caribbean,12244159
BRA,Brazil,Latin America & Caribbean,211140729
BRB,Barbados,Latin America & Caribbean,282336
BRN,Brunei Darussalam,East Asia & Pacific,458949
BTN,Bhutan,South Asia,786385
BWA,Botswana,Sub-Saharan Africa,2480244
CAF,Central African Republic,Sub-Saharan Africa,5152421
CAN,Canada,North America,40049088
CHE,Switzerland,Europe & Central Asia,8888822
CHI,Channel Islands,Europe & Central Asia,167691
CHL,Chile,Latin America & Caribbean,19658835
CHN,China,East Asia & Pacific,1410710000
CIV,Cote d'Ivoire,Sub-Saharan Africa,31165654
CMR,Cameroon,Sub-Saharan Africa,28372687
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,105789731
COG,"Congo, Rep.",Sub-Saharan Africa,6182885
COL,Colombia,Latin America & Caribbean,52321152
COM,Comoros,Sub-Saharan Africa,850387
CPV,Cabo Verde,Sub-Saharan Africa,522331
CRI,Costa Rica,Latin America & Caribbean,5105525
CUB,Cuba,Latin America & Caribbean,11019931
CUW,Curacao,Latin America & Caribbean,154654
CYM,Cayman Islands,Latin America & Caribbean,73038
CYP,Cyprus,Europe & Central Asia,1344976
CZE,Czechia,Europe & Central Asia,10864042
