iso3,year,sex_code,obesity_prevalence_pct,display_value
SUR,2022,SEX_MLE,19.240952,19.2 [12.6-26.9]
GUY,2022,SEX_FMLE,38.430071,38.4 [32.5-44.7]
SSD,2022,SEX_FMLE,11.24636,11.2 [6.5-17.5]
SRB,2022,SEX_MLE,24.238355,24.2 [18.9-30.0]
PSE,2022,SEX_MLE,28.25442,28.3 [24.4-32.2]
NAM,2022,SEX_MLE,10.092829,10.1 [5.7-15.6]
BDI,2022,SEX_BTSX,4.6755299,4.7 [2.8-7.7]
LAO,2022,SEX_FMLE,10.550865,10.6 [7.1-14.8]
BMU,2022,SEX_BTSX,32.746521,32.7 [23.5-42.5]
KWT,2022,SEX_MLE,36.517435,36.5 [30.3-42.8]
BGR,2022,SEX_FMLE,17.224023,17.2 [14.6-20.2]
MWI,2022,SEX_MLE,2.9176468,2.9 [1.9-4.3]
TTO,2022,SEX_MLE,23.880473,23.9 [20.6-27.3]
AFG,2022,SEX_FMLE,23.63153,23.6 [19.7-27.7]
PRT,2022,SEX_MLE,17.223926,17.2 [14.0-20.7]
AGO,2022,SEX_MLE,6.2600084,6.3 [3.1-10.9]
MAR,2022,SEX_MLE,12.803134,12.8 [9.3-16.9]
KIR,2022,SEX_BTSX,45.20162,45.2 [42.5-47.9]
NZL,2022,SEX_MLE,31.799203,31.8 [29.0-34.5]
MDG,2022,SEX_BTSX,4.0236663,4.0 [2.8-5.6]
SLB,2022,SEX_MLE,15.713419,15.7 [11.8-20.2]
LCA,2022,SEX_BTSX,33.263206,33.3 [30.2-36.4]
MKD,2022,SEX_BTSX,26.060194,26.1 [19.8-33.2]
PRY,2022,SEX_MLE,27.888417,27.9 [24.1-31.8]
HUN,2022,SEX_FMLE,27.300686,27.3 [24.0-30.7]
ARG,2022,SEX_BTSX,35.26631,35.3 [32.7-38.0]
VUT,2022,SEX_BTSX,21.773966,21.8 [17.4-26.7]
CIV,2022,SEX_FMLE,16.307567,16.3 [13.7-19.1]
BGD,2022,SEX_FMLE,7.6208942,7.6 [6.7-8.7]
VUT,2022,SEX_FMLE,26.844102,26.8 [20.2-34.2]
ZWE,2022,SEX_FMLE,20.320836,20.3 [16.6-24.4]
TCD,2022,SEX_FMLE,6.4560443,6.5 [4.4-8.9]
MOZ,2022,SEX_FMLE,13.299741,13.3 [11.6-15.2]
CAN,2022,SEX_BTSX,25.79084,25.8 [23.3-28.4]
WSM,2022,SEX_FMLE,74.996585,75.0 [71.1-78.7]
GEO,2022,SEX_BTSX,34.285301,34.3 [30.4-38.3]
VNM,2022,SEX_MLE,1.9191362,1.9 [1.3-2.7]
FIN,2022,SEX_FMLE,23.665243,23.7 [21.4-26.1]
SWE,2022,SEX_BTSX,16.977419,17.0 [14.5-19.6]
MKD,2022,SEX_FMLE,25.664395,25.7 [19.8-32.1]
CHE,2022,SEX_MLE,13.317898,13.3 [11.4-15.4]
NOR,2022,SEX_BTSX,19.536772,19.5 [16.5-22.8]
JPN,2022,SEX_BTSX,5.4727148,5.5 [4.6-6.4]
NIC,2022,SEX_FMLE,38.9707,39.0 [32.2-46.0]
FJI,2022,SEX_MLE,27.216017,27.2 [23.8-30.8]
NGA,2022,SEX_MLE,7.957013,8.0 [5.8-10.6]
NOR,2022,SEX_MLE,20.443799,20.4 [15.9-25.4]
BTN,2022,SEX_BTSX,11.91409,11.9 [10.1-13.9]
ETH,2022,SEX_FMLE,3.9111707,3.9 [3.2-4.7]
CAF,2022,SEX_BTSX,9.9033363,9.9 [7.4-12.7]
CIV,2022,SEX_MLE,7.5517021,7.6 [4.2-11.9]
MOZ,2022,SEX_MLE,5.1520485,5.2 [3.9-6.6]
KWT,2022,SEX_FMLE,47.048542,47.0 [41.7-52.2]
THA,2022,SEX_FMLE,18.08743,18.1 [15.2-21.0]
HTI,2022,SEX_MLE,5.2350983,5.2 [3.1-7.9]
KNA,2022,SEX_MLE,36.185056,36.2 [25.9-47.3]
TKM,2022,SEX_MLE,18.445967,18.4 [14.7-22.6]
JOR,2022,SEX_FMLE,42.272061,42.3 [40.3-44.2]
IRQ,2022,SEX_MLE,30.714878,30.7 [24.5-37.2]
MDG,2022,SEX_MLE,4.0689725,4.1 [2.0-7.2]
SUR,2022,SEX_BTSX,29.425848,29.4 [23.7-35.4]
ROU,2022,SEX_BTSX,30.684757,30.7 [28.4-33.0]
BEL,2022,SEX_BTSX,20.214818,20.2 [17.4-23.2]
AND,2022,SEX_BTSX,17.071925,17.1 [12.3-22.5]
JAM,2022,SEX_FMLE,48.286709,48.3 [42.7-53.7]
ZMB,2022,SEX_BTSX,10.650298,10.7 [8.8-12.8]
SDN,2022,SEX_MLE,10.747736,10.7 [7.7-14.2]
CYP,2022,SEX_FMLE,19.861393,19.9 [12.0-29.4]
VCT,2022,SEX_MLE,18.615226,18.6 [13.3-24.6]
SUR,2022,SEX_FMLE,39.373532,39.4 [30.1-48.8]
SLE,2022,SEX_MLE,2.8232295,2.8 [2.0-3.9]
ITA,2022,SEX_BTSX,14.357004,14.4 [12.6-16.3]
MAR,2022,SEX_FMLE,28.799653,28.8 [24.3-33.6]
THA,2022,SEX_MLE,11.524943,11.5 [9.2-14.1]
SSD,2022,SEX_MLE,4.7286045,4.7 [2.2-8.4]
SAU,2022,SEX_MLE,35.788447,35.8 [29.5-42.7]
FSM,2022,SEX_FMLE,56.132823,56.1 [48.3-63.4]
SAU,2022,SEX_BTSX,39.549473,39.5 [35.1-44.4]
ISR,2022,SEX_MLE,22.211915,22.2 [18.0-26.8]
ERI,2022,SEX_FMLE,5.3171601,5.3 [3.3-7.9]
TTO,2022,SEX_FMLE,35.701388,35.7 [32.3-39.3]
EGY,2022,SEX_FMLE,55.921888,55.9 [52.6-59.2]
DZA,2022,SEX_MLE,14.864284,14.9 [11.1-19.1]
LKA,2022,SEX_FMLE,13.694912,13.7 [12.1-15.4]
PRI,2022,SEX_FMLE,46.298808,46.3 [37.9-54.9]
RUS,2022,SEX_FMLE,18.935609,18.9 [17.5-20.5]
AGO,2022,SEX_BTSX,11.855334,11.9 [7.9-16.6]
VCT,2022,SEX_FMLE,48.542732,48.5 [41.7-55.5]
GRL,2022,SEX_FMLE,31.004432,31.0 [26.0-36.1]
GNQ,2022,SEX_MLE,7.8364737,7.8 [3.0-15.7]
QAT,2022,SEX_MLE,38.160107,38.2 [30.0-46.5]
BLR,2022,SEX_MLE,18.666579,18.7 [15.6-21.8]
KAZ,2022,SEX_MLE,18.914375,18.9 [16.2-21.7]
SWZ,2022,SEX_BTSX,28.389528,28.4 [26.3-30.7]
VEN,2022,SEX_MLE,20.401499,20.4 [16.4-24.8]
PYF,2022,SEX_BTSX,48.124838,48.1 [41.7-54.6]
DNK,2022,SEX_FMLE,12.76003,12.8 [10.6-15.2]
PSE,2022,SEX_FMLE,45.135519,45.1 [41.6-48.5]
DNK,2022,SEX_MLE,15.169521,15.2 [13.1-17.4]
PRT,2022,SEX_FMLE,19.150391,19.2 [16.3-22.3]
KIR,2022,SEX_FMLE,52.577907,52.6 [48.7-56.3]
TCD,2022,SEX_BTSX,6.7163758,6.7 [4.6-9.4]
CYP,2022,SEX_MLE,23.188891,23.2 [14.4-33.7]
AUS,2022,SEX_MLE,30.569378,30.6 [26.4-34.8]
MDG,2022,SEX_FMLE,3.9876375,4.0 [2.9-5.3]
HUN,2022,SEX_BTSX,30.384585,30.4 [28.0-32.9]
DMA,2022,SEX_FMLE,44.827873,44.8 [35.7-54.4]
ARM,2022,SEX_MLE,18.561539,18.6 [13.7-23.9]
ARM,2022,SEX_FMLE,28.037286,28.0 [24.2-31.8]
PER,2022,SEX_FMLE,31.416896,31.4 [30.0-32.9]
TGO,2022,SEX_BTSX,12.119318,12.1 [10.5-13.8]
TLS,2022,SEX_BTSX,3.0456727,3.0 [2.5-3.7]
