nct_id,intervention_seq,intervention_type,intervention_name,description
NCT01644201,1,DIETARY_SUPPLEMENT,PolyGlycopleX® - PGX®,"15g or 20g total daily dose, 5g pre-mixed with liquid meal replacement and consumed twice daily, 5g supplement granules sprinkled on food and consumed once of twice daily"
NCT01644201,2,DIETARY_SUPPLEMENT,Rice Flour (placebo),"15g or 20g total daily dose, 5g pre-mixed with liquid meal replacement and consumed twice daily, 5g supplement granules sprinkled on food and consumed once of twice daily"
NCT00375401,1,DRUG,"CP-945,598 Treatment A","Arm includes CP-945,598 Treatment A plus Dietary, Physical Activity, and Weight Loss Counseling"
NCT00375401,2,DRUG,"CP-945,598 Treatment B","Arm includes CP-945,598 Treatment B plus Dietary, Physical Activity, and Weight Loss Counseling"
NCT00375401,3,DRUG,Placebo,"Arm includes Placebo plus Dietary, Physical Activity, and Weight Loss Counseling"
NCT07684144,1,DRUG,Maridebart Cafraglutide,Administered subcutaneously.
NCT07684144,2,DRUG,Placebo,Administered subcutaneously.
NCT05822830,1,DRUG,Tirzepatide,Administered SC
NCT05822830,2,DRUG,Semaglutide,Administered SC
NCT06501248,1,DRUG,Triticum Aestivum,"The intervention period will be 120 days, searching for effects on insulin sensitivity and metabolic control."
NCT06501248,2,DRUG,Placebo (calcined magnesia),"The intervention period will be 120 days, searching for effects on insulin sensitivity and metabolic control."
NCT06309992,1,COMBINATION_PRODUCT,Survodutide,"Survodutide, pre-filled syringe"
NCT06309992,2,COMBINATION_PRODUCT,Placebo,"Placebo matching survodutide, pre-filled syringe"
NCT00146107,1,BEHAVIORAL,Diet,10 percent weight loss through diet and behavioral modification
NCT00146107,2,OTHER,Exercise,"Multicomponent (resistance, aerobic, balance) exercise three times a week"
NCT00146107,3,OTHER,Weight Loss and Exercise,10% weight loss through diet and exercise plus multicomponent exercise training three times a week
NCT02672592,1,DRUG,Anakinra,Anakinra 100mg s.c. bid
NCT02672592,2,DRUG,Sodium Chloride 0.9%,Sodium Chloride 0.9% s.c. bid
NCT03345771,1,COMBINATION_PRODUCT,Antimicrobial Barrier Dressing,"Ionic Silver is a soft, nonwoven pad or ribbon that features the gelling benefits of Hydrofiber technology plus antimicrobial ionic silver."
