nct_id,sponsor_role,sponsor_name,sponsor_class
NCT01644201,LEAD,InovoBiologic Inc.,INDUSTRY
NCT00375401,LEAD,Pfizer,INDUSTRY
NCT07684144,LEAD,Amgen,INDUSTRY
NCT05822830,LEAD,Eli Lilly and Company,INDUSTRY
NCT06501248,LEAD,"Coordinación de Investigación en Salud, Mexico",OTHER_GOV
NCT06309992,LEAD,Boehringer Ingelheim,INDUSTRY
NCT00146107,LEAD,Washington University School of Medicine,OTHER
NCT02672592,LEAD,"University Hospital, Basel, Switzerland",OTHER
NCT03345771,LEAD,NYU Langone Health,OTHER
NCT00623844,LEAD,University of Wuerzburg,OTHER
NCT00623844,COLLABORATOR,Gmünder ErsatzKasse GEK,UNKNOWN
NCT00623844,COLLABORATOR,University of Cologne,OTHER
NCT03419624,LEAD,Universitätsklinikum Hamburg-Eppendorf,OTHER
NCT03419624,COLLABORATOR,AstraZeneca,INDUSTRY
NCT04520490,LEAD,Seattle Children's Hospital,OTHER
NCT04520490,COLLABORATOR,University of Washington,OTHER
NCT04221750,LEAD,VA Office of Research and Development,FED
NCT04221750,COLLABORATOR,Michael E. DeBakey VA Medical Center,FED
NCT04221750,COLLABORATOR,Baylor College of Medicine,OTHER
NCT07075146,LEAD,José Antonio Mata Marín,OTHER_GOV
NCT07075146,COLLABORATOR,Instituto Mexicano del Seguro Social,OTHER_GOV
NCT00478972,LEAD,Sanofi,INDUSTRY
NCT07037459,LEAD,Amgen,INDUSTRY
NCT00386061,LEAD,Sanofi,INDUSTRY
NCT04447313,LEAD,Fred Hutchinson Cancer Center,OTHER
NCT04447313,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT00029861,LEAD,Sanofi,INDUSTRY
NCT05093634,LEAD,"Rhythm Pharmaceuticals, Inc.",INDUSTRY
NCT01627925,LEAD,Massachusetts General Hospital,OTHER
NCT07037433,LEAD,Amgen,INDUSTRY
NCT00764270,LEAD,Oregon State University,OTHER
NCT00764270,COLLABORATOR,Oregon Health and Science University,OTHER
NCT00764270,COLLABORATOR,National Center for Complementary and Integrative Health (NCCIH),NIH
NCT00955903,LEAD,University of Alabama at Birmingham,OTHER
NCT04678323,LEAD,University of Minnesota,OTHER
NCT07503210,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01724983,LEAD,University of Padova,OTHER
NCT05887271,LEAD,University of Leicester,OTHER
NCT05887271,COLLABORATOR,University of Oxford,OTHER
NCT05887271,COLLABORATOR,University of Manchester,OTHER
NCT05887271,COLLABORATOR,University of Leeds,OTHER
NCT00975533,LEAD,Chinese University of Hong Kong,OTHER
NCT00975533,COLLABORATOR,MetaCure Limited,INDUSTRY
NCT01273584,LEAD,Epsom and St Helier University Hospitals NHS Trust,OTHER
NCT01273584,COLLABORATOR,Fetal Medicine Foundation,OTHER
NCT01273584,COLLABORATOR,King's College Hospital NHS Trust,OTHER
NCT01272232,LEAD,Novo Nordisk A/S,INDUSTRY
NCT07220772,LEAD,Regeneron Pharmaceuticals,INDUSTRY
NCT06952712,LEAD,FANG HE,OTHER
NCT00589498,LEAD,Mayo Clinic,OTHER
NCT00589498,COLLABORATOR,National Institutes of Health (NIH),NIH
NCT02342899,LEAD,Guy's and St Thomas' NHS Foundation Trust,OTHER
NCT02342899,COLLABORATOR,Philips Electronics Nederland B.V. acting through Philips CTO organization,INDUSTRY
NCT02868177,LEAD,Valbiotis,INDUSTRY
NCT02868177,COLLABORATOR,Biofortis Mérieux NutriSciences,OTHER
NCT02868177,COLLABORATOR,Institut Pasteur de Lille,OTHER
NCT00000532,LEAD,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT00495599,LEAD,Vanderbilt University,OTHER
NCT01905956,LEAD,InQpharm Group,INDUSTRY
NCT04800172,LEAD,Tanta University,OTHER
NCT00929812,LEAD,"Charite University, Berlin, Germany",OTHER
NCT00989339,LEAD,Emory University,OTHER
NCT00989339,COLLABORATOR,American Diabetes Association,OTHER
NCT00553787,LEAD,VIVUS LLC,INDUSTRY
NCT00553787,COLLABORATOR,"Medpace, Inc.",INDUSTRY
NCT05788965,LEAD,University of Minnesota,OTHER
NCT05788965,COLLABORATOR,Cystic Fibrosis Foundation,OTHER
NCT00679653,LEAD,Abbott,INDUSTRY
NCT07734311,LEAD,"Hangzhou Sciwind Biosciences Co., Ltd.",INDUSTRY
NCT00449605,LEAD,Sanofi,INDUSTRY
NCT00678483,LEAD,Sanofi,INDUSTRY
NCT05409612,LEAD,Assistance Publique - Hôpitaux de Paris,OTHER
NCT05409612,COLLABORATOR,"Sanofi Pasteur, a Sanofi Company",INDUSTRY
NCT05409612,COLLABORATOR,Hospices Civils de Lyon,OTHER
NCT02516475,LEAD,National Nutrition and Food Technology Institute,OTHER
NCT04525300,LEAD,Xiangya Hospital of Central South University,OTHER
NCT06914895,LEAD,Eli Lilly and Company,INDUSTRY
NCT00520182,LEAD,Ben-Gurion University of the Negev,OTHER
NCT00520182,COLLABORATOR,The S. Daniel Abraham International Center for Health and Nutrition,OTHER
NCT00520182,COLLABORATOR,Clalit Health Services,OTHER
NCT07284901,LEAD,Kailera,INDUSTRY
NCT07567001,LEAD,Novo Nordisk A/S,INDUSTRY
NCT02367105,LEAD,VA Office of Research and Development,FED
NCT02367105,COLLABORATOR,Michael E. DeBakey VA Medical Center,FED
NCT02367105,COLLABORATOR,Baylor College of Medicine,OTHER
NCT02367105,COLLABORATOR,Biomedical Research Institute of New Mexico,OTHER
NCT05394519,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01934777,LEAD,Bambino Gesù Hospital and Research Institute,OTHER
NCT05482672,LEAD,"Cale Andrew Jacobs, PhD",OTHER
NCT05482672,COLLABORATOR,Massachusetts General Hospital,OTHER
NCT00478595,LEAD,Sanofi,INDUSTRY
NCT02157974,LEAD,"University of Colorado, Denver",OTHER
NCT02157974,COLLABORATOR,National Center for Advancing Translational Sciences (NCATS),NIH
NCT02157974,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT01764113,LEAD,Mayo Clinic,OTHER
NCT00383058,LEAD,Taipei City Hospital,OTHER_GOV
NCT00383058,COLLABORATOR,"National Science and Technology Council, Taiwan",OTHER_GOV
NCT00383058,COLLABORATOR,"Taipei Hospital, Taiwan",OTHER
NCT02140697,LEAD,Chonbuk National University Hospital,OTHER
NCT00131404,LEAD,Merck Sharp & Dohme LLC,INDUSTRY
NCT07670884,LEAD,"Fujian Shengdi Pharmaceutical Co., Ltd.",INDUSTRY
NCT01334125,LEAD,"University of Massachusetts, Worcester",OTHER
NCT01028976,LEAD,"University of California, Berkeley",OTHER
NCT01028976,COLLABORATOR,Kaiser Permanente,OTHER
NCT00872378,LEAD,Advanced Specialty Care,OTHER
NCT02410668,LEAD,National Nutrition and Food Technology Institute,OTHER
NCT00210808,LEAD,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY
NCT00210808,COLLABORATOR,"Ortho-McNeil Neurologics, Inc.",INDUSTRY
NCT05872932,LEAD,Sebahattin Celik MD,OTHER
NCT06548100,LEAD,Regeneron Pharmaceuticals,INDUSTRY
NCT01109199,LEAD,Canadian Center for Functional Medicine,OTHER
NCT01109199,COLLABORATOR,University of British Columbia,OTHER
NCT01109199,COLLABORATOR,InovoBiologic Inc.,INDUSTRY
NCT06125587,LEAD,Shengjing Hospital,OTHER
NCT02356016,LEAD,University of Erlangen-Nürnberg Medical School,OTHER
NCT02356016,COLLABORATOR,University of Erlangen-Nürnberg,OTHER
NCT02356016,COLLABORATOR,"Bavarian Research Foundation, Munich, Germany",UNKNOWN
NCT02356016,COLLABORATOR,"miha bodytec, Gersthofen, Germany",UNKNOWN
NCT02356016,COLLABORATOR,"Physiomed, Laipersdorf, Germany",UNKNOWN
NCT02356016,COLLABORATOR,Siemens AG,INDUSTRY
NCT02432209,LEAD,Yale University,OTHER
NCT02432209,COLLABORATOR,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT02432209,COLLABORATOR,Penn State University,OTHER
NCT02432209,COLLABORATOR,Augusta University,OTHER
NCT02432209,COLLABORATOR,"University of California, San Francisco",OTHER
NCT02432209,COLLABORATOR,University of North Carolina,OTHER
NCT02432209,COLLABORATOR,University of Oklahoma,OTHER
NCT02432209,COLLABORATOR,University of Pennsylvania,OTHER
NCT03651765,LEAD,"Rhythm Pharmaceuticals, Inc.",INDUSTRY
NCT01613664,LEAD,"Centre Hospitalier Universitaire, Amiens",OTHER
NCT05869903,LEAD,Eli Lilly and Company,INDUSTRY
NCT05620641,LEAD,Tanta University,OTHER
NCT00434096,LEAD,Sanofi,INDUSTRY
NCT04074161,LEAD,Novo Nordisk A/S,INDUSTRY
NCT07225686,LEAD,Amgen,INDUSTRY
NCT04966741,LEAD,"Rhythm Pharmaceuticals, Inc.",INDUSTRY
NCT01402128,LEAD,Chonbuk National University Hospital,OTHER
NCT00486941,LEAD,Umeå University,OTHER
NCT00486941,COLLABORATOR,"County Council of Norrbotten, Sweden",OTHER_GOV
NCT01629394,LEAD,University of Patras,OTHER
NCT02412631,LEAD,Mayo Clinic,OTHER
NCT02412631,COLLABORATOR,National Institute on Drug Abuse (NIDA),NIH
NCT01353066,LEAD,Hospital Clinic of Barcelona,OTHER
NCT02183935,LEAD,University Medical Centre Ljubljana,OTHER
NCT00029835,LEAD,Sanofi,INDUSTRY
NCT00868543,LEAD,Kaunas University of Medicine,OTHER
NCT04651218,LEAD,Kyle Flack,OTHER
NCT04651218,COLLABORATOR,National Institute of General Medical Sciences (NIGMS),NIH
NCT00545805,LEAD,"University of Campinas, Brazil",OTHER
NCT00545805,COLLABORATOR,Fundação de Amparo à Pesquisa do Estado de São Paulo,OTHER_GOV
NCT06597474,LEAD,Michigan State University,OTHER
NCT07571109,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01833507,LEAD,Mayo Clinic,OTHER
NCT07720271,LEAD,Novo Nordisk A/S,INDUSTRY
NCT03454711,LEAD,Rennes University Hospital,OTHER
NCT03454711,COLLABORATOR,"Institut NuMeCan, INRAE 1341",UNKNOWN
NCT02921217,LEAD,Biopolis S.L.,INDUSTRY
NCT02921217,COLLABORATOR,Technological Centre of Nutrition and Health,OTHER
NCT02921217,COLLABORATOR,Hospital Universitari Sant Joan de Reus,OTHER
NCT02921217,COLLABORATOR,University Rovira i Virgili,OTHER
NCT07501832,LEAD,Gan & Lee Pharmaceuticals.,INDUSTRY
NCT03480022,LEAD,Woman's,OTHER
NCT03480022,COLLABORATOR,Novo Nordisk A/S,INDUSTRY
NCT07220642,LEAD,Novo Nordisk A/S,INDUSTRY
