iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason,opportunity_score,infrastructure_score,competitive_headroom_score,data_confidence_score,attractiveness_score,rank
USA,68,46,61,2741,2741,1659,470,11,10,United States,North America,336755052.0,2022.0,40.434778,136166157.67998457,3.378225601996381,1.0,0.2,1.0,True,PASSED,100.0,97.47221736309213,50.45780072472771,84.00000000000001,84.45611539010957,1
CHN,46,30,43,638,615,472,71,21,15,China,East Asia & Pacific,1410710000.0,2022.0,8.2295865,116095599.71415,2.584077266827154,0.9639498432601881,0.2,0.9093176086925753,True,PASSED,96.87318576166308,79.59103602315024,48.33995431528591,79.2038592509486,76.90483400190776,2
IND,18,14,15,229,220,176,36,3,3,India,South Asia,1438069596.0,2022.0,7.2447151,104184045.169921,1.3437758130015425,0.9606986899563319,0.2,0.6954097578720472,True,PASSED,94.75046407652893,55.91202455531459,71.38335094833373,71.57078257355658,73.78020171266996,3
BRA,17,11,13,234,234,156,43,5,3,Brazil,Latin America & Caribbean,211140729.0,2022.0,28.159052,59455227.67228907,1.8501316756586714,1.0,0.2,0.6826403055185054,True,PASSED,83.75134185074023,56.97522016800976,68.83048366865987,72.8924106931477,70.35945112676212,4
MEX,17,10,13,222,219,149,54,5,4,Mexico,Latin America & Caribbean,129739759.0,2022.0,36.054844,46777467.713425964,2.13778139108839,0.9864864864864865,0.2,0.6826403055185054,True,PASSED,79.04878531417026,57.50627646238634,64.7587164349039,72.28430258503958,67.99884302944889,5
RUS,5,0,2,84,83,78,5,2,0,Russian Federation,Europe & Central Asia,143826130.0,2022.0,18.134482,26082123.656146597,0.0,0.9880952380952381,0.2,0.42317298048186053,True,PASSED,67.59443116576165,33.332612838285634,100.0,63.27534003115084,64.7694142058868,6
GBR,25,17,22,296,290,214,48,7,6,United Kingdom,Europe & Central Asia,68526000.0,2022.0,26.993641,18497662.43166,9.190350436335864,0.9797297297297297,0.2,0.7694885649390122,True,PASSED,60.85682523812669,63.54472726900112,45.13773206579516,75.01993761070327,59.85788941019263,7
DEU,34,26,31,372,366,226,60,7,6,Germany,Europe & Central Asia,83287273.0,2022.0,20.587164,17146487.48363772,15.163455503531479,0.9838709677419355,0.2,0.8396926382529888,True,PASSED,59.36949778395029,66.77744584105837,39.11699850743262,77.6634358872417,59.272848097447,8
ZAF,8,3,6,90,87,71,15,2,2,South Africa,Sub-Saharan Africa,63212384.0,2022.0,31.133828,19680434.90925952,1.5243565570741116,0.9666666666666667,0.2,0.5189346500732899,True,PASSED,62.07217436031929,39.13939478972932,74.0462199644699,65.66271275256514,58.72443264901683,9
TUR,12,11,11,153,123,126,26,4,4,Turkiye,Europe & Central Asia,85325965.0,2022.0,29.095364,24825900.1032626,4.430856466128448,0.803921568627451,0.2,0.6057829094937964,True,PASSED,66.62650106798446,50.41057238130434,57.599002608757175,61.378872420518185,58.717703550053656,10
