iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason
ARG,27,21,24,353,271,231,64,5,5,Argentina,Latin America & Caribbean,45538401.0,2022.0,35.26631,16059713.6657031,13.076198266751982,0.7677053824362606,0.2,0.7869911884732236,True,PASSED
AUS,24,19,23,202,201,132,55,5,5,Australia,East Asia & Pacific,26659922.0,2022.0,29.7975,7943990.2579499995,23.917451284618114,0.995049504950495,0.2,0.7602255213403929,True,PASSED
AUT,7,6,6,49,48,31,9,3,3,Austria,Europe & Central Asia,9131761.0,2022.0,16.025788,1463436.65852668,40.99938295956397,0.9795918367346939,0.2,0.49111696633564683,True,PASSED
BEL,13,11,11,100,97,68,20,3,3,Belgium,Europe & Central Asia,11779946.0,2022.0,20.214818,2381294.64439828,46.19335967464684,0.97,0.2,0.6232855330280079,True,PASSED
BGD,2,2,2,2,2,2,0,2,2,Bangladesh,South Asia,171466990.0,2022.0,5.116006,8772261.496419398,2.279913795110128,1.0,0.2,0.25946732503664494,False,INSUFFICIENT_FACILITY_EVIDENCE
BGR,16,12,14,147,143,124,23,5,5,Bulgaria,Europe & Central Asia,6446596.0,2022.0,19.939533,1285421.13679668,93.35461862642521,0.9727891156462585,0.2,0.6691407835348502,True,PASSED
BRA,17,11,13,234,234,156,43,5,3,Brazil,Latin America & Caribbean,211140729.0,2022.0,28.159052,59455227.67228907,1.8501316756586714,1.0,0.2,0.6826403055185054,True,PASSED
CAN,36,22,32,372,364,246,71,6,5,Canada,North America,40049088.0,2022.0,25.79084,10328996.207539199,21.29926234646312,0.978494623655914,0.2,0.8528169777315717,True,PASSED
CHE,3,1,2,16,16,16,0,2,1,Switzerland,Europe & Central Asia,8888822.0,2022.0,11.026175,980097.0691585,10.203071016818654,1.0,0.2,0.32741131089043124,True,PASSED
CHL,2,2,2,17,16,17,0,2,2,Chile,Latin America & Caribbean,19658835.0,2022.0,38.608992,7590078.0324432,2.6350190227968078,0.9411764705882353,0.2,0.25946732503664494,True,PASSED
CHN,46,30,43,638,615,472,71,21,15,China,East Asia & Pacific,1410710000.0,2022.0,8.2295865,116095599.71415,2.584077266827154,0.9639498432601881,0.2,0.9093176086925753,True,PASSED
COL,3,1,2,17,15,17,0,2,1,Colombia,Latin America & Caribbean,52321152.0,2022.0,23.770167,12436825.20672384,0.8040637247674434,0.8823529411764706,0.2,0.32741131089043124,True,PASSED
CZE,22,19,21,218,205,159,38,5,5,Czechia,Europe & Central Asia,10864042.0,2022.0,25.573215,2778284.8183503,68.38751691153784,0.9403669724770642,0.2,0.740532674963355,True,PASSED
DEU,34,26,31,372,366,226,60,7,6,Germany,Europe & Central Asia,83287273.0,2022.0,20.587164,17146487.48363772,15.163455503531479,0.9838709677419355,0.2,0.8396926382529888,True,PASSED
DNK,21,12,18,85,84,58,18,5,4,Denmark,Europe & Central Asia,5946952.0,2022.0,13.962093,830318.96890536,144.52277316776275,0.9882352941176471,0.2,0.7300341760421377,True,PASSED
DZA,1,0,0,5,5,5,0,1,0,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",46164219.0,2022.0,22.852418,10549640.29231542,0.0,1.0,0.2,0.16370565544521562,False,INSUFFICIENT_STUDY_EVIDENCE
ESP,35,23,29,313,312,194,75,9,6,Spain,Europe & Central Asia,48352528.0,2022.0,16.103056,7786234.661255679,29.539310078140918,0.9968051118210862,0.2,0.8463459609637211,True,PASSED
FIN,6,2,4,24,22,20,3,2,2,Finland,Europe & Central Asia,5583911.0,2022.0,23.241536,1297786.68527296,15.410853129374997,0.9166666666666666,0.2,0.4595798775827923,True,PASSED
FRA,18,12,15,146,146,102,33,4,3,France,Europe & Central Asia,68372286.0,2022.0,11.491171,7856776.30086906,15.273439818660291,1.0,0.2,0.6954097578720472,True,PASSED
GBR,25,17,22,296,290,214,48,7,6,United Kingdom,Europe & Central Asia,68526000.0,2022.0,26.993641,18497662.43166,9.190350436335864,0.9797297297297297,0.2,0.7694885649390122,True,PASSED
GRC,15,11,13,123,121,75,25,4,3,Greece,Europe & Central Asia,10407351.0,2022.0,26.966581,2806506.73736931,39.19463243587611,0.983739837398374,0.2,0.6548226217808625,True,PASSED
HKG,2,1,1,3,1,3,0,2,1,"Hong Kong SAR, China",East Asia & Pacific,7536100.0,,,,,0.3333333333333333,,0.25946732503664494,False,MISSING_OBESITY_PREVALENCE
HRV,1,0,0,7,7,7,0,1,0,Croatia,Europe & Central Asia,3859686.0,2022.0,29.460567,1137085.38001962,0.0,1.0,0.2,0.16370565544521562,False,INSUFFICIENT_STUDY_EVIDENCE
HUN,15,8,13,148,146,118,22,3,3,Hungary,Europe & Central Asia,9592186.0,2022.0,30.384585,2914545.9085281002,27.44852972324649,0.9864864864864865,0.2,0.6548226217808625,True,PASSED
IND,18,14,15,229,220,176,36,3,3,India,South Asia,1438069596.0,2022.0,7.2447151,104184045.169921,1.3437758130015425,0.9606986899563319,0.2,0.6954097578720472,True,PASSED
IRL,1,0,0,6,6,6,0,1,0,Ireland,Europe & Central Asia,5311538.0,2022.0,27.405554,1455656.41482052,0.0,1.0,0.2,0.16370565544521562,False,INSUFFICIENT_STUDY_EVIDENCE
ISR,7,4,5,70,70,45,16,2,1,Israel,"Middle East, North Africa, Afghanistan & Pakistan",9849000.0,2022.0,22.340062,2200272.70638,18.179564689419806,1.0,0.2,0.49111696633564683,True,PASSED
